date,deathcause,Tm,rh,SDSexposure,dow,time
2013/3/6,1,6.91,71.26,2,3,34
2013/3/7,2,11.02,53.1,2,4,35
2013/3/8,1,11.61,56.82,1,5,36
2013/3/9,1,6.54,31.15,1,6,37
2013/3/10,2,3.95,39.56,0,0,38
2013/3/11,1,7.1,49.31,2,1,39
2013/3/12,0,5.58,75.29,2,2,40
2013/3/13,1,3.38,48.38,2,3,41
2013/3/14,2,5.27,57.4,2,4,42
2013/3/15,1,8.22,64.08,2,5,43
2013/3/16,1,10.58,62.21,2,6,44
2013/3/17,1,12.38,56.33,2,0,45
2013/3/18,1,5.59,43.14,0,1,46
2013/3/19,1,3.35,52.71,0,2,47
2013/3/20,1,2.29,58.31,2,3,48
2013/3/21,0,8.26,56.44,2,4,49
2013/3/22,2,5.2,46.34,2,5,50
2013/3/23,2,6.84,39.54,2,6,51
2013/3/24,2,3.47,40.58,0,0,52
2013/3/25,1,5.79,49.29,2,1,53
2013/3/26,1,9.33,65.32,2,2,54
2013/3/27,1,11.13,39.8,2,3,55
2013/3/28,1,6.37,39.45,0,4,56
2013/3/29,0,7.3,43.11,2,5,57
2013/3/30,1,6.52,61.07,2,6,58
2013/3/31,1,10.35,67.37,2,0,59
2013/4/1,0,9.41,51.06,2,1,60
2013/4/2,1,10.87,51.82,2,2,61
2013/4/3,2,11.49,44.17,2,3,62
2013/4/4,2,9.92,60.19,2,4,63
2013/4/5,1,8.82,40.01,2,5,64
2013/4/6,0,8.28,28.85,0,6,65
2013/4/7,3,10.86,45.91,0,0,66
2013/4/8,0,7.93,16.28,0,1,67
2013/4/9,1,6.9,28.37,0,2,68
2013/4/10,0,7.99,32.23,0,3,69
2013/4/11,0,10.35,31.82,0,4,70
2013/4/12,0,16.86,32.31,0,5,71
2013/4/13,0,18.44,30.12,2,6,72
2013/4/14,1,12.23,40.24,0,0,73
2013/4/15,1,13.07,50.83,2,1,74
2013/4/16,1,12.36,44.33,0,2,75
2013/4/17,0,11.77,37.75,0,3,76
2013/4/18,1,9.54,22.08,0,4,77
2013/4/19,0,2.59,82.99,0,5,78
2013/4/20,2,7.84,53.76,2,6,79
2013/4/21,0,11.67,51.43,2,0,80
2013/4/22,1,11.87,65.7,2,1,81
2013/4/23,0,13.17,74.14,2,2,82
2013/4/24,0,17.27,27.89,2,3,83
2013/4/25,1,15.61,27.83,0,4,84
2013/4/26,1,17.06,35.93,2,5,85
2013/4/27,1,17.13,49.84,0,6,86
2013/4/28,1,14.48,59.99,2,0,87
2013/4/29,1,18.83,35.03,2,1,88
2013/4/30,1,18.8,32.44,0,2,89
2013/5/1,2,17.22,40.26,0,3,90
2013/5/2,2,18.02,45.57,2,4,91
2013/5/3,2,16.57,47.47,2,5,92
2013/5/4,1,20.06,48.79,2,6,93
2013/5/5,1,22.11,53.22,2,0,94
2013/5/6,2,24.18,45.59,2,1,95
2013/5/7,0,23.43,43.42,2,2,96
2013/5/8,1,17.55,69.81,1,3,97
2013/5/9,1,16.91,62.04,2,4,98
2013/5/10,1,22.06,25.44,2,5,99
2013/5/11,1,25.68,15.53,0,6,100
2013/5/12,2,23.53,20.09,0,0,101
2013/5/13,2,19.78,40.5,1,1,102
2013/5/14,2,23.37,28.32,1,2,103
2013/5/15,0,21.08,39.68,1,3,104
2013/5/16,1,21.53,44.12,1,4,105
2013/5/17,1,21.76,50.93,2,5,106
2013/5/18,0,22.26,52.03,2,6,107
2013/5/19,1,21.65,21.67,0,0,108
2013/5/20,0,23.18,26.5,0,1,109
2013/5/21,1,25.44,37.29,2,2,110
2013/5/22,1,21.97,66.58,0,3,111
2013/5/23,1,24.63,60.39,0,4,112
2013/5/24,0,24.75,51.18,2,5,113
2013/5/25,0,25.06,56.28,0,6,114
2013/5/26,1,19.12,88.12,2,0,115
2013/5/27,0,20.98,65.57,0,1,116
2013/5/28,0,19.89,64.57,2,2,117
2013/5/29,1,22.54,31.59,0,3,118
2013/5/30,1,25.8,40.62,0,4,119
2013/5/31,1,23.62,59.06,2,5,120
2014/2/1,1,0.22,88.59,2,6,121
2014/2/2,2,0.65,48.71,2,0,122
2014/2/3,3,-2.03,30.05,0,1,123
2014/2/4,3,-2.4,25.63,0,2,124
2014/2/5,7,-1.94,54.62,2,3,125
2014/2/6,8,-1.2,54.93,2,4,126
2014/2/7,4,-2.51,76,2,5,127
2014/2/8,7,-3.45,42.65,2,6,128
2014/2/9,3,-6.79,31.03,0,0,129
2014/2/10,5,-5.44,33.62,2,1,130
2014/2/11,5,-3.84,43.49,2,2,131
2014/2/12,6,-1.89,49.13,2,3,132
2014/2/13,4,-1.64,53.53,0,4,133
2014/2/14,2,0.8,54.75,0,5,134
2014/2/15,2,0.29,67.67,0,6,135
2014/2/16,1,1.71,62.21,0,0,136
2014/2/17,4,0.35,46.23,0,1,137
2014/2/18,3,-0.04,51.84,2,2,138
2014/2/19,3,-0.43,56.24,2,3,139
2014/2/20,4,0.01,70.81,0,4,140
2014/2/21,5,1.17,73.18,0,5,141
2014/2/22,4,3.89,73.38,1,6,142
2014/2/23,3,2.86,77.27,1,0,143
2014/2/24,5,4.59,78.43,1,1,144
2014/2/25,6,6.07,76.96,2,2,145
2014/2/26,3,7.07,76.82,2,3,146
2014/2/27,1,3.18,44.55,1,4,147
2014/2/28,6,2.14,61.15,2,5,148
2014/3/1,6,4.04,54.72,1,6,149
2014/3/2,1,4.78,58,2,0,150
